%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1489621344416324870,123,1489621344416214274,fcu,-6.09953355789,10.9506225586,2.00280117989,0.0188880756824,-0.00644203658141,-0.70602721196,-0.707903465689
1489621344648998230,124,1489621344648849666,fcu,-6.16996240616,11.0846061707,2.00260901451,0.0169327346645,-0.0101575433393,-0.705970938238,-0.707965494338
1489621344882132952,125,1489621344882036126,fcu,-6.23737764359,11.2234067917,2.00241351128,0.0171878087133,-0.010554801287,-0.705963244445,-0.707961208609
1489621345150233524,126,1489621345150138730,fcu,-6.29670000076,11.3746910095,2.00237679482,0.02071481174,-0.0210370009658,-0.705725699383,-0.707869746772
1489621345383297030,127,1489621345383196831,fcu,-6.34197330475,11.5438756943,2.0018093586,0.0208617302615,-0.0328818659159,-0.705359017076,-0.707779787882
1489621345615970772,128,1489621345615888330,fcu,-6.37693548203,11.7263326645,2.00144457817,0.0176973973136,-0.0276164239268,-0.705539563248,-0.707911053699
1489621345849705986,129,1489621345849625597,fcu,-6.40797424316,11.9132900238,2.00177145004,0.0152027434361,-0.0205351043958,-0.705781495722,-0.707968690251
1489621346083240511,130,1489621346083149321,fcu,-6.43242883682,12.097237587,2.00225234032,0.011978240805,-0.0189926279093,-0.705886839237,-0.707968623615
1489621346348484335,131,1489621346348397506,fcu,-6.44761705399,12.2733507156,2.0025408268,0.00509992409581,-0.0170443818512,-0.705931932522,-0.708056202901
1489621346582877601,132,1489621346582771095,fcu,-6.45111322403,12.441778183,2.00273346901,0.00107390615995,-0.0183806017838,-0.705905056081,-0.708067123938
1489621346816509779,133,1489621346816420175,fcu,-6.45047426224,12.6068248749,2.00269675255,0.00666080554583,-0.0172710399255,-0.705957527609,-0.708012227339
1489621347049438946,134,1489621347049334153,fcu,-6.45391893387,12.7710351944,2.00251054764,0.0134302506568,-0.0139946135164,-0.705985076239,-0.707961052098
1489621347282632431,135,1489621347282547248,fcu,-6.46547174454,12.9263887405,2.00224709511,0.0126619565582,-0.00527588086846,-0.706088133711,-0.707991092719
1489621347549879360,136,1489621347549794796,fcu,-6.48310184479,13.0644807816,2.00196409225,0.00573130930866,-0.0004129860792,-0.706110446834,-0.708078398489
1489621347782529805,137,1489621347782432257,fcu,-6.49825716019,13.1804838181,2.00211620331,-0.00410455529095,0.000549836878137,-0.706080413139,-0.708119552397
1489621348015679904,138,1489621348015589882,fcu,-6.50756883621,13.2760305405,2.00193738937,-0.00976868348161,-0.00113877325114,-0.706041689079,-0.708101976626
1489621348249802732,139,1489621348249696566,fcu,-6.50920295715,13.3575763702,2.0016310215,-0.00838316031491,-0.00336638158914,-0.706072813605,-0.70808161393
1489621348516614850,140,1489621348516510110,fcu,-6.50451946259,13.4306211472,2.00168037415,-0.00533737625864,-0.00588916362267,-0.706093015154,-0.708074490514
1489621348749357357,141,1489621348749247839,fcu,-6.49445581436,13.4989891052,2.00176644325,-0.00443491992976,-0.00731690718822,-0.706077472052,-0.708082903208
1489621348982463413,142,1489621348982379146,fcu,-6.47772550583,13.5669136047,2.00209879875,-0.00295924255008,-0.0117625826043,-0.706026066237,-0.708081971475
1489621349216537475,143,1489621349216454863,fcu,-6.45515489578,13.6413955688,2.00255012512,-0.00158897833612,-0.0165249638396,-0.70592765013,-0.7080893683
